nickel_mass,nickel_mass_err_upper,nickel_mass_err_lower,global_aperture_host_log_ssfr,global_aperture_host_log_ssfr_err_upper,global_aperture_host_log_ssfr_err_lower 
0.0545,0.0003,0.0003,-9.636085055814869,0.2208210610089374,0.3738624118730023
0.0037,0.0038,0.0038,-10.145833244607331,0.5608231821498713,0.9862246671840644
0.0588,0.01,0.01,-9.459731863957467,0.6431569167534068,0.5410871145213783
0.0341,0.0006,0.0006,-10.025934887736378,0.24482060570094077,0.21425752647290963
0.0536,0.0119,0.0119,-10.693131618915631,0.9993487636438694,1.2567196870421782
0.032,0.0023,0.0023,-11.063253214542517,0.4218711655874241,0.5048468801371389
0.0047,0.0002,0.0002,-11.090900297710867,0.7811352157935421,1.511651717071274
0.0234,0.0017,0.0017,-10.054086647950655,0.32926260418693687,0.36278584727025454
0.0466,0.0116,0.0116,-10.422731350171585,0.42887583333674506,0.6853204560944146
0.052,0.0162,0.0162,-9.595937069884272,0.6173561979487552,0.40612177673813044
0.0085,0.0002,0.0002,-10.381242658926581,0.5102612623312748,0.613660628331747
0.0044,0.0033,0.0033,-9.46827558430401,0.3290450049729099,0.3530629491831103
0.0087,0.0012,0.0012,-8.42176180388146,0.4908640399298294,0.48735330136589994
0.0394,0.0051,0.0051,-9.84675729211967,0.3036062953977616,0.30965207569942876
0.005,0.001,0.001,-9.921201390267319,0.5156056663990292,0.3596412601967902
0.002,0.001,0.001,-9.826942802956852,0.4767563194293931,0.537104256737587
0.005,0.003,0.003,-11.090900297710867,0.7811352157935421,1.511651717071274
0.007,0.003,0.003,-9.933467706128953,0.5274024193083999,0.41072983850057376
0.004,0.001,0.001,-9.46827558430401,0.3290450049729099,0.3530629491831103
0.05,0.008,0.009,-10.693131618915631,0.9993487636438694,1.2567196870421782
0.02,0.007,0.01,-11.449863074354717,0.39939890806968137,0.42870346723317176
0.063,0.001,0.001,-10.138341780522884,0.3502901913405996,0.3168021321146792
0.069,0.004,0.003,-11.400583216391901,0.7510870374662915,1.228898141951884
0.033,0.003,0.002,-9.667310996181865,0.509707391593226,0.49534653614650637
0.021,0.002,0.002,-11.449863074354717,0.39939890806968137,0.42870346723317176
0.0684,0.0017,0.0017,-10.197310275192,0.5278544030581802,0.34775956497249894
0.079,0.018,0.029,-9.806632336526553,0.6034867458989677,0.42872367263251654
0.1239,0.0024,0.0021,-8.90433172387654,0.7270423076837105,0.5751424703660408
0.1105,0.0028,0.0024,-9.96574819435323,0.4040013127850006,0.4714543724515696
