nickel_mass,nickel_mass_err_upper,nickel_mass_err_lower,global_aperture_host_logsfh,global_aperture_host_logsfh_err_upper,global_aperture_host_logsfh_err_lower 
0.0545,0.0003,0.0003,-1.6760210795648418,0.8323221078920365,1.5288077762281813
0.0037,0.0038,0.0038,-0.30015239082689504,0.5319181974262515,1.3725789678906957
0.0588,0.01,0.01,-0.3791348352621585,0.42558107124431577,0.7816316544386074
0.0341,0.0006,0.0006,0.05087589387158182,0.17597743196772705,0.2392700332993143
0.0536,0.0119,0.0119,-1.1113411642766613,0.606637796838972,1.5242288683641798
0.032,0.0023,0.0023,-1.8264686542124522,0.4007107629047595,0.5401871715165034
0.0047,0.0002,0.0002,-1.192777730756216,0.8740523940274794,1.7430492397305222
0.0234,0.0017,0.0017,-1.2489504486126388,0.24551646346905032,0.3372664121552533
0.0466,0.0116,0.0116,-0.5721134508593659,0.39287425965851375,0.9524768272570805
0.052,0.0162,0.0162,0.16497761927845625,0.23423999044761465,0.4843731804638518
0.0085,0.0002,0.0002,0.23855375050295954,0.29433873936774946,0.626398578206662
0.0044,0.0033,0.0033,-0.591029722905263,0.240969562005182,0.522808302638357
0.0087,0.0012,0.0012,-0.591881381274931,0.35027912114788895,0.781975817637819
0.0394,0.0051,0.0051,0.182735656853775,0.200457406872684,0.2213129595680321
0.005,0.001,0.001,-0.4524632771865451,0.3916684847786885,0.3278325487575027
0.002,0.001,0.001,-0.1983364207428011,0.4227930230767825,1.2775327402087233
0.005,0.003,0.003,-1.192777730756216,0.8740523940274794,1.7430492397305222
0.007,0.003,0.003,0.04413631771116281,0.24437739887405022,0.23544315826940848
0.004,0.001,0.001,-0.591029722905263,0.240969562005182,0.522808302638357
0.05,0.008,0.009,-1.1113411642766613,0.606637796838972,1.5242288683641798
0.02,0.007,0.01,-1.0799246002039768,0.32716403242710934,0.40424985205320496
0.063,0.001,0.001,-0.12032708104495056,0.28150873538194426,0.5656754980406911
0.069,0.004,0.003,-1.8157908558835658,0.8012051501578505,1.9672581229866297
0.033,0.003,0.002,1.1423503404540172,0.25941118313164635,0.5326659783077081
0.021,0.002,0.002,-1.0799246002039768,0.32716403242710934,0.40424985205320496
0.0684,0.0017,0.0017,0.049683444972449,0.215018867164502,0.291408671142529
0.079,0.018,0.029,-0.6977477457162091,0.29848875281602205,0.5789822453051168
0.1239,0.0024,0.0021,-1.13444595644699,0.47040700419161896,1.33884854107542
0.1105,0.0028,0.0024,0.129498405332621,0.31237905746766004,1.092883804293307
