nickel_mass,nickel_mass_err_upper,nickel_mass_err_lower,global_aperture_host_logzsol,global_aperture_host_logzsol_err_upper,global_aperture_host_logzsol_err_lower 
0.0545,0.0003,0.0003,-0.8579828441143036,0.2169829837679863,0.27735291278362273
0.0037,0.0038,0.0038,-1.1362974047660828,0.5416563405394554,0.49411823356151574
0.0588,0.01,0.01,-1.184074580669403,0.7434129929840565,0.5957230695486069
0.0341,0.0006,0.0006,-0.5962018966674805,0.385063577696681,0.38187200611829764
0.0536,0.0119,0.0119,-0.8462094962596893,0.3673037668168545,0.6608517395257949
0.032,0.0023,0.0023,-0.995354026556015,0.2422089777588844,0.3141955575942994
0.0047,0.0002,0.0002,-0.36955901980400085,0.36755061365652364,0.47181696015596386
0.0234,0.0017,0.0017,-0.6610856354236603,0.4364575878679753,0.5048029698133469
0.0466,0.0116,0.0116,-1.0400635600090027,0.3486549261808396,0.5019292132854463
0.052,0.0162,0.0162,-0.3599995821714401,0.36471928794495767,0.625001810491085
0.0085,0.0002,0.0002,-0.2161436602473259,0.19265103683806956,0.21686562001705167
0.0044,0.0033,0.0033,-0.592223316431046,0.407407315790654,0.6506610999107341
0.0087,0.0012,0.0012,-0.89213153719902,0.5387509569823741,0.5841641572713899
0.0394,0.0051,0.0051,-0.176207758486271,0.12355955247581009,0.163254568040371
0.005,0.001,0.001,-1.1610333323478699,0.4727141824364659,0.4705854909420013
0.002,0.001,0.001,-0.9128326177597046,0.5888173582553864,0.6684343329668045
0.005,0.003,0.003,-0.36955901980400085,0.36755061365652364,0.47181696015596386
0.007,0.003,0.003,-0.32316651940345764,0.27287613752111795,0.41070568627119064
0.004,0.001,0.001,-0.592223316431046,0.407407315790654,0.6506610999107341
0.05,0.008,0.009,-0.8462094962596893,0.3673037668168545,0.6608517395257949
0.02,0.007,0.01,-0.2588733434677124,0.12938305386900906,0.26356558740139
0.063,0.001,0.001,-1.143231213092804,0.3927297127246856,0.4453950604200363
0.069,0.004,0.003,-1.0367775559425354,0.3417972229719163,0.37347598063945764
0.033,0.003,0.002,-0.37395188212394714,0.2677298996225,0.4908616108894348
0.021,0.002,0.002,-0.2588733434677124,0.12938305386900906,0.26356558740139
0.1239,0.0024,0.0021,-1.33876419067383,0.36358061212301385,0.3950339500904101
0.1105,0.0028,0.0024,-0.522577852010727,0.25729634466767304,0.44520882946252793
0.0684,0.0017,0.0017,-0.515375405550003,0.28246790808439204,0.28600213152170195
