nickel_mass,nickel_mass_err_upper,nickel_mass_err_lower,local_aperture_host_log_age,local_aperture_host_log_age_err_upper,local_aperture_host_log_age_err_lower 
0.0545,0.0003,0.0003,11.664866831014582,0.7769037903762879,3.809982178936031
0.0037,0.0038,0.0038,9.101503939454584,2.8227571274576757,1.125671225719599
0.0588,0.01,0.01,8.362562265813704,3.504963267972416,0.9744716298481606
0.0207,0.0019,0.0019,4.13889553670181,1.96572411972741,3.0664892228331198
0.0341,0.0006,0.0006,6.7603631575708345,1.2478500625734341,1.688132799499516
0.0536,0.0119,0.0119,7.798589252194192,2.8296804878351374,2.787760857295118
0.032,0.0023,0.0023,8.318984615012143,3.0668857384498036,1.3404621121188018
0.0047,0.0002,0.0002,7.1682693885219635,1.4723005801032851,2.178910282961893
0.0234,0.0017,0.0017,7.525961020340584,1.2874804204654948,1.7618339490071788
0.0466,0.0116,0.0116,8.216491317061228,3.0599153002475585,1.1329433397506081
0.052,0.0162,0.0162,5.768776377580995,1.9745755631907977,3.658677086864253
0.0085,0.0002,0.0002,7.837394549734116,2.3018535108182068,1.3296244606811198
0.0044,0.0033,0.0033,6.28750757640795,1.0502872105394498,1.6276340602604504
0.0394,0.0051,0.0051,8.01686677362445,2.4568975382571505,0.9996667914638104
0.005,0.001,0.001,7.258815920175254,1.4813152117302995,1.687851433211657
0.002,0.001,0.001,5.586967012471312,2.5194357716613265,5.356241510094135
0.005,0.003,0.003,7.1682693885219635,1.4723005801032851,2.178910282961893
0.007,0.003,0.003,7.225775416116688,1.988880796033241,2.0376173546717755
0.004,0.001,0.001,6.28750757640795,1.0502872105394498,1.6276340602604504
0.05,0.008,0.009,7.798589252194192,2.8296804878351374,2.787760857295118
0.017,0.006,0.009,5.877834636633395,2.3915759078467254,5.330762878388427
0.063,0.001,0.001,5.984929303604664,1.707712788087374,3.2842533355079433
0.069,0.004,0.003,7.085725823010801,2.5358600985116233,4.181823924427821
0.0684,0.0017,0.0017,6.7962036700971,1.73885621723152,2.2379622029964095
0.0441,0.0004,0.0004,2.80236720756497,2.4524000437508304,2.165940066456148
0.1105,0.0028,0.0024,6.68999642617388,1.5449441066099192,2.3475688301937003
