nickel_mass,nickel_mass_err_upper,nickel_mass_err_lower,local_aperture_host_logzsol,local_aperture_host_logzsol_err_upper,local_aperture_host_logzsol_err_lower 
0.0545,0.0003,0.0003,-0.36889562010765076,0.16616684943437582,0.252152726650238
0.0037,0.0038,0.0038,-0.5618693232536316,0.10702898544073103,0.14086889290809634
0.0588,0.01,0.01,-1.5054657459259033,0.38699033463001253,0.3095230505466462
0.0207,0.0019,0.0019,-0.00127043994143605,0.13125220351293707,0.25418041343614495
0.0341,0.0006,0.0006,-1.2788739204406738,0.278765342950821,0.2953868489265441
0.0536,0.0119,0.0119,-1.2438836693763733,0.5208455997109414,0.5216588499546051
0.032,0.0023,0.0023,-0.8977905213832855,0.4003371577560902,0.6414743361473083
0.0047,0.0002,0.0002,-1.5395758152008057,0.48643029797077175,0.28355491518974296
0.0021,0.0002,0.0002,-0.0892129726707935,0.20704675622284452,0.8283273814618585
0.0234,0.0017,0.0017,-1.047567903995514,0.29760264134407044,0.2849534463882446
0.0466,0.0116,0.0116,-0.26586252450942993,0.22267065923660978,0.2587107733488083
0.052,0.0162,0.0162,-0.4994370937347412,0.4670528195276857,0.679049726843834
0.0085,0.0002,0.0002,-0.6378190815448761,0.20995753896236424,0.38473696720600126
0.0044,0.0033,0.0033,-0.454180955886841,0.14600548774003996,0.19083823245763804
0.0087,0.0012,0.0012,-1.47014671564102,0.37789602982998005,0.25927189397812
0.0497,0.0059,0.0059,-0.0608497504144907,0.17581720778346072,0.3771394268125293
0.0394,0.0051,0.0051,-0.173900090157986,0.09034200668334989,0.088039709091186
0.005,0.001,0.001,-1.0935701131820679,0.42143344318866727,0.5510610513687133
0.002,0.001,0.001,-0.06987333670258522,0.17429499707371,0.5792218139469624
0.005,0.003,0.003,-1.5395758152008057,0.48643029797077175,0.28355491518974296
0.007,0.003,0.003,-0.7265535593032837,0.42932751321792606,0.5777076767683029
0.006,0.003,0.003,-0.0892129726707935,0.20704675622284452,0.8283273814618585
0.004,0.001,0.001,-0.454180955886841,0.14600548774003996,0.19083823245763804
0.05,0.008,0.009,-1.2438836693763733,0.5208455997109414,0.5216588499546051
0.017,0.006,0.009,-1.4112567901611328,0.5368978003859521,0.34563469076156617
0.063,0.001,0.001,-1.062976360321045,0.5327383831739427,0.6117454991340636
0.069,0.004,0.003,-0.46910734474658966,0.5112476980201901,1.0621788748502732
0.1239,0.0024,0.0021,-1.33295369148254,0.438653598845001,0.37421233403682996
0.0441,0.0004,0.0004,-1.10100150108337,0.5081111065745311,0.5763537489175801
0.1105,0.0028,0.0024,-1.4237813949585,0.5199791502356571,0.37888475751875994
0.0684,0.0017,0.0017,-0.520569354295731,0.335648527607322,0.5068580709695789
