plateau_duration,plateau_duration_err_upper,plateau_duration_err_lower,local_aperture_host_log_age,local_aperture_host_log_age_err_upper,local_aperture_host_log_age_err_lower 
86.2,0.5,0.5,11.664866831014582,0.7769037903762879,3.809982178936031
122.6,1.0,1.0,9.101503939454584,2.8227571274576757,1.125671225719599
102.0,1.0,1.0,8.362562265813704,3.504963267972416,0.9744716298481606
99.4,1.0,1.0,4.13889553670181,1.96572411972741,3.0664892228331198
87.8,1.0,1.0,6.7603631575708345,1.2478500625734341,1.688132799499516
117.9,1.0,1.0,7.798589252194192,2.8296804878351374,2.787760857295118
126.6,3.1,3.1,8.318984615012143,3.0668857384498036,1.3404621121188018
124.2,4.5,4.5,7.1682693885219635,1.4723005801032851,2.178910282961893
125.8,0.5,0.5,0.171959389870966,6.457786331810894,0.1080282481072379
135.5,3.0,3.0,7.525961020340584,1.2874804204654948,1.7618339490071788
118.3,5.0,5.0,8.216491317061228,3.0599153002475585,1.1329433397506081
140.2,2.0,2.0,5.768776377580995,1.9745755631907977,3.658677086864253
90.0,2.0,2.0,7.837394549734116,2.3018535108182068,1.3296244606811198
117.8,8.0,8.0,6.28750757640795,1.0502872105394498,1.6276340602604504
106.2,2.0,2.0,0.0957379701632756,5.092021970266394,0.03120465273267231
135.2,4.0,4.0,0.296863899518556,7.063822416499304,0.28180578570651
110.6,5.0,5.0,8.01686677362445,2.4568975382571505,0.9996667914638104
80.5,8.0,8.0,7.276708737605166,1.92457022041142,2.3558250263326634
96.0,7.0,7.0,7.798589252194192,2.8296804878351374,2.787760857295118
83.2,12.0,12.0,5.877834636633395,2.3915759078467254,5.330762878388427
92.8,5.0,5.0,7.779337641145128,1.4662027406195435,0.9832707844828921
93.0,5.0,5.0,7.1963643998666225,1.4748879715583492,1.7785906454615672
92.5,9.0,9.0,7.710519944319845,4.012027585551056,2.3788039484136716
87.8,7.0,7.0,2.1932940558802456,4.00043459333255,2.050263672691874
108.5,7.0,7.0,12.040768353607767,0.5594645282937698,2.84381595941959
86.0,6.0,6.0,6.921868960328551,1.8578791648016342,2.362835449323475
108.9,7.0,7.0,7.14634392860656,1.7348125038405708,1.6922745229283338
80.7,6.0,6.0,6.677128326418451,2.070560637788036,3.722351585899496
84.9,4.0,4.0,10.865039045329024,1.7033971658747085,2.9192485334862885
120.2,6.0,6.0,5.984929303604664,1.707712788087374,3.2842533355079433
84.2,7.0,7.0,7.507648353236606,2.939694755357282,4.432541706788255
112.9,10.0,10.0,7.3550625440320605,1.6322412497896739,1.8033102285502567
92.6,10.0,10.0,7.0337293251289035,1.67454961090895,2.8097981086638315
85.2,6.0,6.0,10.748524507584746,2.043047393677064,2.418687751770843
96.9,8.0,8.0,8.727725416142391,3.038682805972213,0.9667982294735644
88.3,7.0,7.0,7.018401628403608,2.148359456039871,3.6167787178746362
77.3,8.0,8.0,5.464253410038348,1.3241824817053853,1.8663524502460573
97.7,7.0,7.0,7.085725823010801,2.5358600985116233,4.181823924427821
103.4,5.0,5.0,5.610400586321675,2.1631562107887765,4.048229748332108
72.8,6.0,6.0,5.068467427251319,2.9472107954263542,4.411747592101765
41.7,6.0,6.0,8.106467534322636,1.6810841880327985,0.7613750443795118
107.67,0.88,0.79,6.7962036700971,1.73885621723152,2.2379622029964095
88.05,1.36,1.25,0.628798850716551,5.351851440988009,0.5608415904413124
60.57,0.41,0.37,2.80236720756497,2.4524000437508304,2.165940066456148
91.11,1.43,1.07,6.68999642617388,1.5449441066099192,2.3475688301937003
