Name	Tpt	e_Tpt
2013bu        	102.8	 4.5
2013fs        	 86.2	 0.5
LSQ13dpa      	129.9	 2.0
2014cy        	122.6	 1.0
2014dw        	 90.8	10.0
ASASSN-14dq   	101.5	 5.5
ASASSN-14gm   	110.6	 1.5
ASASSN-14ha   	136.9	 1.5
2015W         	109.2	10.0
2013ab        	102.0	 1.0
2013by        	 85.8	 2.0
2013ej        	 99.4	 1.0
2014G         	 87.8	 1.0
1999em        	117.9	 1.0
1999gi        	126.6	 3.1
2001X         	114.5	 5.0
2003Z         	124.2	 4.5
2003hn        	107.3	 4.0
2004et        	123.5	 4.0
2005cs        	125.8	 0.5
2008in        	107.6	 1.0
2009N         	108.1	 1.2
2009bw        	135.5	 3.0
2009dd        	118.3	 5.0
2009ib        	140.2	 2.0
2009kr        	 90.0	 2.0
2009md        	117.8	 8.0
2012A         	106.2	 2.0
2012aw        	135.2	 4.0
2012ec        	110.6	 5.0

